Player_ID,Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
8573,Landen Hookey,NO,10,,2004.0,6.05,222,RW,Owen Sound Attack,65,32,36,68,1.05,5,9,14,6,3,75,23,33.8,48.0
9191,Pierce Mbuyi,YES,21,,2008.0,5.10,153,LW,Owen Sound Attack,60,28,20,48,0.8,8,10,6,1,1,46,16,33.3,48.0
8494,James Petrovski,NO,28,,2005.0,6.03,190,D,Owen Sound Attack,66,4,35,39,0.59,-11,1,19,1,1,98,20,51.3,-48.5
8934,Tristan Delisle,NO,40,,2007.0,5.11,172,C,Owen Sound Attack,61,11,26,37,0.61,10,1,5,3,0,49,6,16.2,22.0
9228,Cole Zurawski,YES,17,,2008.0,6.00,181,RW,Owen Sound Attack,60,15,15,30,0.5,-3,1,1,2,0,22,2,6.7,27.5
8471,Declan Waddick,NO,27,,2005.0,5.09,165,LW,Owen Sound Attack,58,14,16,30,0.52,-10,2,6,2,0,40,8,26.7,2.0
8781,Bruce McDonald,NO,29,,2004.0,6.00,177,C,Owen Sound Attack,60,8,18,26,0.43,-16,0,6,1,2,10,6,23.1,17.0
8740,Braedyn Rogers,NO,2,,2006.0,6.00,180,D,Owen Sound Attack,65,7,19,26,0.4,-15,3,6,0,0,44,9,34.6,-16.5
9027,Jake Crawford,NO,16,,2007.0,6.03,180,C,Owen Sound Attack,62,8,16,24,0.39,-21,1,0,0,0,22,1,4.2,-3.0
8739,Ben Cormier,NO,8,,2006.0,6.00,172,C,Owen Sound Attack,62,13,9,22,0.35,-19,2,2,0,1,33,4,18.2,-12.5
9030,Harry Nansi,NO,34,,2007.0,6.03,179,RW,Owen Sound Attack,64,7,15,22,0.34,-10,0,2,3,0,12,2,9.1,14.5
8741,Antonio Tersigni,NO,37,,2006.0,5.11,172,LW,Owen Sound Attack,50,10,7,17,0.34,-10,0,2,0,0,26,2,11.8,-5.5
8749,Masen Wray,NO,22,,2006.0,6.04,185,C,Owen Sound Attack,46,9,7,16,0.35,-4,1,0,1,0,30,1,6.2,-5.5
9195,Rafik Varosyan,YES,18,,2007.0,6.00,179,LW,Owen Sound Attack,49,4,9,13,0.27,-10,0,0,1,0,37,0,0.0,-25.5
8472,Alec Leonard,NO,19,,2004.0,5.11,174,D,Owen Sound Attack,42,3,8,11,0.26,-5,0,1,1,0,34,1,9.1,-21.0
9339,Lenny Greenberg,NO,23,,2005.0,6.00,180,D,Owen Sound Attack,19,1,9,10,0.53,-4,1,2,0,0,6,3,30.0,5.5
9190,Elliot Arnett,YES,4,,2008.0,6.01,189,D,Owen Sound Attack,55,1,8,9,0.16,-8,0,0,0,0,40,0,0.0,-34.0
8726,David Bedkowski,NO,25,,2006.0,6.05,215,D,Owen Sound Attack,35,3,4,7,0.2,-6,0,1,0,0,71,1,14.3,-65.0
9193,Max Bleicher,YES,11,,2007.0,5.10,189,D,Owen Sound Attack,49,2,4,6,0.12,-10,0,0,0,0,22,0,0.0,-22.0
9192,Ethan Kindree,YES,9,,2008.0,5.09,165,RW,Owen Sound Attack,44,1,5,6,0.14,-20,0,0,0,0,6,0,0.0,-16.5
9194,Easton Mikus,YES,13,,2007.0,6.00,183,C,Owen Sound Attack,45,3,2,5,0.11,-17,0,0,0,0,23,0,0.0,-31.0
9032,Gabriel Smith,YES,5,,2007.0,6.03,198,D,Owen Sound Attack,61,1,3,4,0.07,2,0,0,0,0,35,0,0.0,-26.5
