Player_ID,Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
8440,Jonathan Melee,NO,23,,2004.0,6.00,184,LW,Peterborough Petes,56,21,14,35,0.63,-28,4,6,0,2,45,10,28.6,-10.0
8992,Aiden Young,NO,26,,2007.0,5.10,180,C,Peterborough Petes,61,13,19,32,0.52,-6,4,8,1,0,37,12,37.5,11.5
9011,Caden Taylor,NO,19,,2007.0,6.03,185,LW,Peterborough Petes,64,14,15,29,0.45,-30,4,4,1,0,49,8,27.6,-28.5
9213,Colin Fitzgerald,YES,27,,2008.0,6.02,195,C,Peterborough Petes,48,12,16,28,0.58,-21,4,8,1,0,45,12,42.9,-18.0
9029,Martin Matejicek,NO,5,,2005.0,6.02,205,D,Peterborough Petes,64,12,16,28,0.44,-20,2,4,3,0,29,6,21.4,-1.0
8799,Braydon McCallum,NO,29,,2006.0,5.10,185,C,Peterborough Petes,52,8,20,28,0.54,-19,1,8,0,2,117,9,32.1,-90.0
8586,Brady Stonehouse,NO,16,,2004.0,5.10,194,RW,Peterborough Petes,44,14,12,26,0.59,-13,6,5,1,0,37,11,42.3,-4.0
8385,Gavin Bryant,NO,13,,2004.0,5.11,188,C,Peterborough Petes,50,10,14,24,0.48,-14,2,4,3,0,31,6,25.0,-4.0
8669,Quinton Pagé,NO,14,,2005.0,5.07,172,LW,Peterborough Petes,56,10,13,23,0.41,-11,3,6,0,0,42,9,39.1,-13.5
9020,Carson Cameron,NO,15,,2007.0,6.02,193,D,Peterborough Petes,59,7,16,23,0.39,-22,2,9,1,0,22,11,47.8,-6.0
9023,Brennan Faulkner,NO,28,,2005.0,5.11,176,LW,Peterborough Petes,61,6,15,21,0.34,5,0,1,0,0,40,1,4.8,-0.5
9247,Francis Parish,YES,18,,2007.0,5.08,160,RW,Peterborough Petes,56,6,11,17,0.3,-10,2,0,0,0,37,2,11.8,-18.5
9031,Nico Addy,NO,22,,2007.0,6.04,207,RW,Peterborough Petes,43,5,9,14,0.33,-15,1,0,2,0,43,1,7.1,-34.5
9022,Liam Ladds,NO,8,,2007.0,6.02,175,D,Peterborough Petes,59,2,12,14,0.24,-12,0,0,0,0,59,0,0.0,-49.0
9212,Genc Ula,YES,7,,2008.0,6.00,195,D,Peterborough Petes,55,5,5,10,0.18,-10,0,0,1,0,14,0,0.0,-6.5
9226,Adam Levac,YES,10,,2008.0,5.10,166,C,Peterborough Petes,53,5,4,9,0.17,-13,0,0,0,0,27,0,0.0,-24.0
9024,Brody Partridge,NO,11,,2006.0,5.11,193,C,Peterborough Petes,53,5,4,9,0.17,-11,0,0,0,0,13,0,0.0,-8.0
9214,Blake Gowan,YES,9,,2008.0,6.01,185,D,Peterborough Petes,39,1,8,9,0.23,-9,0,0,0,0,15,0,0.0,-10.0
8897,Grayden Strohack,NO,6,,2006.0,6.04,198,D,Peterborough Petes,51,1,6,7,0.14,-14,0,0,0,0,85,0,0.0,-88.0
8838,Matthew Jenken,NO,12,,2005.0,6.04,202,D,Peterborough Petes,27,0,6,6,0.22,-11,0,1,0,0,8,1,16.7,-10.0
9317,Rio Kaiser,NO,17,,2006.0,6.07,220,D,Peterborough Petes,20,0,5,5,0.25,-6,0,0,0,0,38,0,0.0,-36.5
9211,Thanasi Marentette,YES,3,,2007.0,6.00,205,D,Peterborough Petes,27,0,1,1,0.04,-6,0,0,0,0,26,0,0.0,-30.5
9356,Luis Sturgeon,NO,20,,2008.0,6.03,194,D,Peterborough Petes,1,0,0,0,0.0,0,0,0,0,0,0,0,,0.0
