Player_ID,Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
8764,Jacob Battaglia,NO,88,,2006.0,6.01,202,LW,Kingston Frontenacs,48,31,40,71,1.48,9,10,12,3,2,22,22,31.0,109.0
8384,Cedrick Guindon,NO,93,,2004.0,5.10,182,C,Kingston Frontenacs,48,29,40,69,1.44,24,10,11,0,2,4,21,30.4,138.0
8978,Tuomas Uronen,NO,8,,2005.0,6.00,194,RW,Kingston Frontenacs,43,27,40,67,1.56,22,8,18,4,2,23,26,38.8,113.0
8407,Ethan Miedema,NO,15,,2005.0,6.04,212,LW,Kingston Frontenacs,48,19,30,49,1.02,13,4,2,6,0,55,6,12.2,41.0
9140,Emil Pieniniemi,NO,7,,2005.0,6.03,177,D,Kingston Frontenacs,43,6,41,47,1.09,7,2,21,2,0,18,23,48.9,62.5
8770,Joey Willis,NO,14,,2005.0,5.11,185,C,Kingston Frontenacs,36,21,21,42,1.17,5,5,8,3,1,34,13,31.0,44.5
8972,Tyler Hopkins,NO,91,,2007.0,6.01,180,C,Kingston Frontenacs,47,15,26,41,0.87,0,3,8,4,0,12,11,26.8,57.0
8376,Quinton Burns,NO,41,,2005.0,6.02,199,D,Kingston Frontenacs,47,8,28,36,0.77,37,2,5,0,0,84,7,19.4,11.0
8599,Gage Heyes,NO,9,,2004.0,6.00,172,RW,Kingston Frontenacs,48,14,19,33,0.69,7,1,2,0,0,44,3,9.1,19.5
8372,Matthew Soto,NO,92,,2005.0,6.00,185,RW,Kingston Frontenacs,42,16,14,30,0.71,7,3,3,1,2,2,6,20.0,58.0
8480,Ethan Hay,NO,68,,2005.0,6.01,195,C,Kingston Frontenacs,44,11,9,20,0.45,-13,4,1,0,0,88,5,25.0,-65.5
8702,Maleek McGowan,NO,11,,2005.0,6.00,190,D,Kingston Frontenacs,39,6,14,20,0.51,14,0,0,2,0,24,0,0.0,23.0
8820,Vann Williamson,NO,27,,2006.0,6.01,188,D,Kingston Frontenacs,48,2,18,20,0.42,10,0,2,1,0,18,2,10.0,23.0
8676,Ben Pickell,NO,12,,2005.0,5.09,186,C,Kingston Frontenacs,44,9,10,19,0.43,6,0,0,1,0,34,0,0.0,5.0
8389,Cal Uens,NO,44,,2005.0,5.09,168,D,Kingston Frontenacs,48,4,15,19,0.4,15,0,1,0,0,40,1,5.3,5.5
8547,Will Bishop,NO,6,,2005.0,6.06,210,RD,Kingston Frontenacs,46,3,11,14,0.3,0,0,0,0,1,28,0,0.0,-5.5
9262,Riley Clark,NO,17,,2006.0,6.01,185,LW,Kingston Frontenacs,42,5,2,7,0.17,-2,0,0,1,0,13,0,0.0,-2.0
9173,Lukas Moore,YES,4,,2007.0,6.02,195,D,Kingston Frontenacs,24,2,2,4,0.17,2,0,0,0,0,6,0,0.0,3.0
9137,Nolan Buttar,YES,22,,2008.0,6.01,181,C,Kingston Frontenacs,41,1,3,4,0.1,-2,0,0,0,0,2,0,0.0,2.5
9139,Adam Kelly,YES,47,,2008.0,5.11,177,C,Kingston Frontenacs,33,2,0,2,0.06,-3,0,0,0,0,4,0,0.0,-3.0
9300,Kieren Dervin,YES,10,,2007.0,6.02,181,C,Kingston Frontenacs,4,1,1,2,0.5,2,0,0,0,0,2,0,0.0,3.5
9327,Landon Wright,NO,36,,2006.0,5.11,181,C,Kingston Frontenacs,11,0,1,1,0.09,-4,0,1,0,0,2,1,100.0,-4.5
