Player_ID,Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
8709,Liam Greentree,NO,66,,2006.0,6.03,216,LW,Windsor Spitfires,52,37,54,91,1.75,42,8,19,5,7,43,27,29.7,154.0
9103,Ilya Protas,NO,37,,2006.0,6.05,200,C,Windsor Spitfires,48,36,48,84,1.75,41,11,15,6,1,28,26,31.0,157.0
8711,Noah Morneau,NO,11,,2004.0,6.00,182,C,Windsor Spitfires,53,21,34,55,1.04,21,6,11,4,0,20,17,30.9,94.0
8401,Ryan Abraham,NO,12,,2004.0,5.08,168,C,Windsor Spitfires,52,18,30,48,0.92,7,5,8,1,1,38,13,27.1,50.0
8942,Jack Nesbitt,NO,71,,2007.0,6.04,182,C,Windsor Spitfires,53,18,30,48,0.91,11,4,10,4,2,49,14,29.2,43.0
8708,Anthony Cristoforo,NO,44,,2006.0,6.00,180,D,Windsor Spitfires,52,12,31,43,0.83,45,7,11,3,1,41,18,41.9,74.5
9102,Ethan Belchetz,YES,61,,2008.0,6.05,226,LW,Windsor Spitfires,42,16,19,35,0.83,0,4,6,2,0,32,10,28.6,28.5
8831,Cole Davis,NO,78,,2006.0,5.10,184,LW,Windsor Spitfires,42,16,19,35,0.83,13,2,3,2,2,28,5,14.3,45.5
8710,AJ Spellacy,NO,8,,2006.0,6.03,204,C,Windsor Spitfires,49,13,15,28,0.57,4,3,2,2,2,52,5,17.9,0.5
8907,Carson Woodall,NO,24,,2006.0,5.11,183,D,Windsor Spitfires,52,3,21,24,0.46,-5,0,12,0,0,16,12,50.0,16.5
8364,Luke McNamara,NO,29,,2005.0,6.03,182,C,Windsor Spitfires,50,8,14,22,0.44,14,2,1,0,0,51,3,13.6,0.0
8393,Tnias Mathurin,NO,74,,2004.0,6.03,200,D,Windsor Spitfires,43,6,13,19,0.44,27,0,0,1,0,18,0,0.0,40.5
9106,Jean-Christoph Lemieux,YES,22,,2008.0,5.11,176,C,Windsor Spitfires,39,7,9,16,0.41,5,0,0,0,0,18,0,0.0,14.5
8400,Owen Outwater,NO,93,,2005.0,6.02,187,LW,Windsor Spitfires,26,5,9,14,0.54,-4,1,3,1,0,6,4,28.6,13.5
8602,Wyatt Kennedy,NO,2,,2005.0,6.05,202,D,Windsor Spitfires,50,2,12,14,0.28,-13,0,4,0,0,46,4,28.6,-37.0
9108,Ethan Garden,YES,77,,2008.0,5.08,166,LW,Windsor Spitfires,44,5,7,12,0.27,-3,0,0,2,0,14,0,0.0,3.5
8939,Josef Eichler,NO,5,,2005.0,6.00,194,D,Windsor Spitfires,49,2,10,12,0.24,11,0,1,1,0,65,1,8.3,-35.0
9107,Carter Hicks,YES,58,,2008.0,6.01,166,D,Windsor Spitfires,38,3,8,11,0.29,11,1,0,0,0,12,1,9.1,17.0
8778,Conor Walton,NO,28,,2006.0,6.05,204,D,Windsor Spitfires,52,2,9,11,0.21,17,0,0,2,0,46,0,0.0,-11.5
9095,Nathan Gaymes,NO,19,,2006.0,5.11,177,RW,Windsor Spitfires,40,3,6,9,0.23,-3,0,0,0,0,56,0,0.0,-44.0
8955,Shawn Costello,YES,10,,2007.0,6.02,188,C,Windsor Spitfires,27,0,3,3,0.11,-2,0,0,0,0,12,0,0.0,-9.5
8768,Tanner Winegard,NO,91,,2005.0,6.06,226,D,Windsor Spitfires,27,1,1,2,0.07,2,0,0,0,0,23,0,0.0,-17.5
