Player_ID,Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
8469,Pano Fimis,NO,98,,2004.0,5.11,183,C,Erie Otters,62,28,48,76,1.23,9,8,19,3,1,32,27,35.5,105.0
8348,Sam Alfano,NO,33,,2004.0,6.04,204,RW,Erie Otters,62,37,37,74,1.19,6,12,7,2,1,53,19,25.7,82.5
8785,Malcolm Spence,NO,17,,2006.0,6.02,201,LW,Erie Otters,59,29,35,64,1.08,10,5,7,7,1,46,12,18.8,74.5
8537,Dylan Edwards,NO,11,,2005.0,5.08,169,RW,Erie Otters,60,19,33,52,0.87,0,7,9,3,1,29,16,30.8,58.5
9000,Martin Misiak,NO,90,,2004.0,6.02,200,C,Erie Otters,54,20,31,51,0.94,-14,8,9,4,0,14,17,33.3,58.5
8535,Carey Terrance,NO,10,,2005.0,6.01,186,C,Erie Otters,45,20,19,39,0.87,0,2,6,1,2,14,8,20.5,54.5
8763,Gabriel Frasca,NO,86,,2006.0,6.01,180,C,Erie Otters,59,13,22,35,0.59,-17,3,6,0,1,34,9,25.7,8.0
8512,Alexis Daviault,NO,72,,2005.0,6.00,184,D,Erie Otters,58,5,30,35,0.6,-22,1,13,0,0,74,14,40.0,-41.0
8999,Wesley Royston,NO,77,,2007.0,6.03,174,RW,Erie Otters,58,12,12,24,0.41,-3,2,1,2,1,51,3,12.5,-12.0
8998,Matthew Schaefer,NO,48,,2007.0,6.02,183,D,Erie Otters,17,7,15,22,1.29,21,2,6,2,0,8,8,36.4,49.5
9284,Callum Hughes,NO,9,,2006.0,6.01,170,LW,Erie Otters,39,9,9,18,0.46,-11,0,2,0,0,6,2,11.1,14.5
8780,Ty Henry,NO,2,,2006.0,6.04,210,D,Erie Otters,58,1,16,17,0.29,-5,0,5,0,0,74,5,29.4,-53.0
9314,Quinn McCall,NO,37,,2005.0,5.11,181,D,Erie Otters,32,2,10,12,0.38,8,0,2,0,0,25,2,16.7,2.0
8996,Brett Hammond,NO,91,,2006.0,6.02,188,RW,Erie Otters,58,4,6,10,0.17,-10,0,1,2,0,25,1,10.0,-18.0
8524,Nathan Sauder,NO,5,,2005.0,6.01,202,D,Erie Otters,62,1,8,9,0.15,18,0,0,0,1,47,0,0.0,-15.0
9131,Tyler Challenger,YES,84,,2008.0,6.02,198,C,Erie Otters,57,6,2,8,0.14,-9,1,0,2,0,12,1,12.5,-6.0
9130,Lucas Ambrosio,YES,73,,2008.0,6.04,190,D,Erie Otters,46,4,4,8,0.17,0,0,0,0,0,35,0,0.0,-21.0
8784,Alex Messier,NO,21,,2005.0,6.03,213,LW,Erie Otters,57,2,4,6,0.11,-8,0,0,0,0,42,0,0.0,-40.0
9323,Garrett Frazer,NO,8,,2006.0,6.00,180,D,Erie Otters,27,1,5,6,0.22,-9,0,0,0,0,24,0,0.0,-23.5
8782,Nicholas Holomego,NO,65,,2006.0,6.05,203,D,Erie Otters,43,0,6,6,0.14,-12,0,0,0,0,25,0,0.0,-28.0
9132,Oliver Phillips,YES,71,,2007.0,6.06,207,LW,Erie Otters,43,0,3,3,0.07,-5,0,0,0,0,10,0,0.0,-10.5
9302,Andrew Willis,YES,39,,2008.0,6.00,160,D,Erie Otters,5,0,1,1,0.2,1,0,0,0,0,0,0,0.0,2.5
9355,Hudson Wozney,YES,99,,2008.0,6.03,194,RW,Erie Otters,3,0,0,0,0.0,0,0,0,0,0,0,0,,0.0
9288,Michael D'Alessio,YES,7,,2008.0,6.01,170,D,Erie Otters,6,0,0,0,0.0,-3,0,0,0,0,2,0,,-5.0
9100,Keagan Knight,YES,23,,2007.0,6.01,197,D,Erie Otters,17,0,0,0,0.0,-3,0,0,0,0,8,0,,-11.0
